id,text,topic,source
wiki_056,"Biodiversity is the variety and variability of life on Earth. It is often used as a measure of health in biological systems. Biodiversity is not distributed evenly on Earth, and is richer in the tropics. Tropical forests, despite covering less than 10 percent of Earth's surface, contain about 90 percent of the world's species. Biodiversity loss poses a serious threat to all life on Earth.",Biology,Wikipedia (simulated)
wiki_057,"Genetics is the study of genes, genetic variation, and heredity in organisms. It is an important branch in biology because heredity is vital to organisms' evolution. Gregor Mendel, a Moravian Augustinian friar working in the 19th century, is considered the father of modern genetics. His studies on the inheritance patterns of pea plants established the fundamental laws of heredity.",Biology,Wikipedia (simulated)
wiki_058,"Ecosystems are dynamic complexes of plant, animal, and microorganism communities interacting with their non-living environment as a functional unit. They provide a variety of ecosystem services that directly or indirectly benefit people. These services include provisioning services such as food and water, regulating services such as climate and disease control, and cultural services.",Biology,Wikipedia (simulated)
wiki_059,"The theory of relativity encompasses two interrelated theories by Albert Einstein: special relativity and general relativity. Special relativity applies to all physical phenomena in the absence of gravity. General relativity explains the law of gravitation and its relation to the forces of nature. It applies to the cosmological and astrophysical realm, including astronomy.",Physics,Wikipedia (simulated)
wiki_060,"Thermodynamics is a branch of physics that deals with heat, work, and temperature, and their relation to energy, entropy, and the physical properties of matter and radiation. The behavior of these quantities is governed by the four laws of thermodynamics. Thermodynamics applies to a wide variety of topics in science and engineering, especially physical chemistry, biochemistry, chemical engineering, and mechanical engineering.",Physics,Wikipedia (simulated)
wiki_061,"The Fibonacci sequence is a sequence in which each number is the sum of the two preceding numbers. Numbers that are part of the Fibonacci sequence are known as Fibonacci numbers. The sequence appears in many settings in mathematics and nature, including in the arrangement of leaves on a stem, the branching of trees, and the arrangement of a pine cone's bracts.",Mathematics,Wikipedia (simulated)
wiki_062,"Prime numbers are natural numbers greater than 1 that are not products of two smaller natural numbers. They have been studied for thousands of years. Many unsolved problems in mathematics concern prime numbers, including Goldbach's conjecture that every even integer greater than 2 is the sum of two primes, and the Riemann hypothesis about the distribution of prime numbers.",Mathematics,Wikipedia (simulated)
wiki_063,"Electromagnetism is the physical interaction among electric charges, magnetic moments, and the electromagnetic field. Electromagnetic forces occur between any two charged particles. Electric forces cause an attraction between particles with opposite charges and repulsion between particles with the same charge, while magnetic forces cause an attraction between particles moving in the same direction and repulsion between those moving opposite each other.",Physics,Wikipedia (simulated)
wiki_064,"The Sahara is a desert located on the African continent. It is the largest hot desert in the world, and the third largest desert overall, smaller only than the deserts of Antarctica and the Arctic. Its area of 9,200,000 square kilometres (3,600,000 sq mi) is comparable to the area of China or the United States. The desert encompasses most of North Africa.",Geography,Wikipedia (simulated)
wiki_065,"The Himalayas are a mountain range in Asia, separating the plains of the Indian subcontinent from the Tibetan Plateau. The range has many of Earth's highest peaks, including the highest, Mount Everest. The Himalayas have profoundly shaped the cultures of South Asia; many Himalayan peaks are sacred in Hinduism and Buddhism.",Geography,Wikipedia (simulated)
wiki_066,"Tokyo is the capital and most populous city of Japan. Tokyo is the political and economic center of the country, as well as the seat of the Japanese Emperor and the national government. The Greater Tokyo Area is both the world's largest metropolitan area and the world's largest urban agglomeration economy.",Geography,Wikipedia (simulated)
wiki_067,"The Mediterranean Sea is a sea connected to the Atlantic Ocean, surrounded by the Mediterranean Basin and almost completely enclosed by land. It is bordered by the Iberian Peninsula and Morocco to the west, the Levant to the east, North Africa and Egypt to the south, and Southern Europe and Anatolia to the north. It has been a center of human civilization for thousands of years.",Geography,Wikipedia (simulated)
wiki_068,"Brazil is the largest country in South America and in Latin America. It is the world's fifth-largest country by area and the seventh largest by population. Its capital is Brasília, and its most populous city is São Paulo. Brazil has diverse terrain including the Amazon rainforest, Atlantic Forest, savanna, wetlands, plateaus, and hills.",Geography,Wikipedia (simulated)
wiki_069,"Agriculture is the practice of cultivating plants and livestock. Agriculture was the key development in the rise of sedentary human civilization, whereby farming of domesticated species created food surpluses that enabled people to live in cities. The history of agriculture began thousands of years ago, and different crops and livestock were independently domesticated in different places around the world.",Agriculture,Wikipedia (simulated)
wiki_070,"Fermentation in food processing is the process of converting carbohydrates to alcohol or organic acids using microorganisms under anaerobic conditions. Fermentation usually implies that the action of microorganisms is desirable, and the process is used to produce foods such as wine, beer, yogurt, cheese, bread, kimchi, and vinegar.",Agriculture,Wikipedia (simulated)
wiki_071,Sustainable agriculture is a type of agriculture that focuses on producing long-term crops and livestock while having minimal effects on the environment. This type of agriculture tries to find a balance between the need for food production and the preservation of the ecological system within the environment. It addresses many environmental and social concerns and offers a profitable and innovative approach to farming.,Agriculture,Wikipedia (simulated)
wiki_072,"The Green Revolution refers to a set of research technology transfer initiatives occurring between 1950 and the late 1960s, that increased agricultural production worldwide, particularly in the developing world, beginning most markedly in the late 1960s. The initiatives resulted in the adoption of new technologies, including high-yielding varieties of cereals, especially dwarf wheat and rice.",Agriculture,Wikipedia (simulated)
wiki_073,"Cognitive psychology is the scientific study of mental processes such as attention, language use, memory, perception, problem solving, creativity, and reasoning. Much of the work derived from cognitive psychology has been integrated into various other modern disciplines such as cognitive science, linguistics, and economics.",Psychology,Wikipedia (simulated)
wiki_074,"The concept of emotional intelligence (EI) refers to the capability of individuals to recognize their own emotions and those of others, discern between different feelings and label them appropriately, use emotional information to guide thinking and behavior, and manage and adjust emotions to adapt to environments or achieve one's goals.",Psychology,Wikipedia (simulated)
wiki_075,"Online education, also known as e-learning, has transformed the educational landscape by making learning accessible to people worldwide. Through digital platforms, students can access courses from leading universities and institutions without geographical constraints. The COVID-19 pandemic accelerated the adoption of online learning, with millions of students and educators shifting to virtual classrooms almost overnight.",Education,Wikipedia (simulated)
